%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-05-18 10:00:00,2024-05-18,2024-05-18,10:00:00,18.05.2024 10:00,TJ Sokol Chomutice (4),Sokol Vítězná (8),V,20 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2024-05-18 10:00:00,2024-05-18,2024-05-18,10:00:00,18.05.2024 10:00,Sportovní klub Sobotka (5),FK Poříčí u Trutnova (3),V,5 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-05-18 10:00:00,2024-05-18,2024-05-18,10:00:00,18.05.2024 10:00,Košťálov-Libštát/Nová Ves (6),TJ Sokol Jičíněves (2),V,1 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2024-05-19 13:30:00,2024-05-19,2024-05-19,13:30:00,19.05.2024 13:30,Bílá Třemešná/Dvůr Králové (7),Sokol Provodov (1),D,6 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2024-05-25 10:00:00,2024-05-25,2024-05-25,10:00:00,25.05.2024 10:00,Košťálov-Libštát/Nová Ves (6),FK Poříčí u Trutnova (3),V,3 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Nová Ves n. P.,
2024-05-25 10:00:00,2024-05-25,2024-05-25,10:00:00,25.05.2024 10:00,Sportovní klub Sobotka (5),TJ Sokol Chomutice (4),V,5 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-05-26 13:00:00,2024-05-26,2024-05-26,13:00:00,26.05.2024 13:00,Sokol Vítězná (8),Sokol Provodov (1),V,1 : 6 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2024-05-26 13:00:00,2024-05-26,2024-05-26,13:00:00,26.05.2024 13:00,Bílá Třemešná/Dvůr Králové (7),TJ Sokol Jičíněves (2),D,6 : 4 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2024-06-01 10:00:00,2024-06-01,2024-06-01,10:00:00,01.06.2024 10:00,Sportovní klub Sobotka (5),Sokol Vítězná (8),V,10 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-06-01 10:00:00,2024-06-01,2024-06-01,10:00:00,01.06.2024 10:00,TJ Sokol Chomutice (4),Košťálov-Libštát/Nová Ves (6),V,2 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
